StageName,DOW,BirthLast,BirthFirst,Gender,DOB,DOD,Type,Country
Ted Cassidy,1964-1977,Cassidy,Ted,M,1932,,R:character,USA
JeanPierre Castaldi,,,,M,,,unknown,unknown
Richard Castellano,1969-1972,Castellano,Richard,M,1931,,R:fat,\It-\Am
William Castle,1974-1975,Schloss,William,M,1914,,R:gimmicky,USA
Phoebe Cates,1982-1994,Cates,Phoebe,F,1963,,"R:cute, with it",USA
Walter Catlett,1924-1956,Catlett,Walter,M,1889,,R:flustered gestures,USA
Kim Cattrall,,,,F,,,unknown,unknown
Joan Caulfield,1946-1968,Caulfield,Joan,F,1922,,R:demure,USA
Olimpia Cavalli,,,,F,,,unknown,unknown
Paul Cavanagh,1929-1959,Cavanagh,Paul,M,1895,,R:suave,british
Hobart Cavanaugh,1927-1950,Cavanaugh,Hobart,M,1886,,R:mild-mannered,USA
Dick Cavett,,,,M,,,R:debonair,USA
Joseph Cawthorn,1927-1942,Cawthorn,Joseph,M,1868,,R:character,USA
John Cazale,1972-1978,Cazale,John,M,1936,,R:character,USA
Christopher Cazenove,,,,M,,,unknown,unknown
Adolfo Celi,1950-1982,Celi,Adolfo,M,1922,,R:solidly-built,italian
Gino Cervi,1934-1964,Cervi,Gino,M,1901,,R:stocky,italian
Renzo Cesana,,,,M,,,unknown,unknown
June Chadwick,,,,F,,,unknown,unknown
George Chakiris,1954-1980,Chakiris,George,M,1933,,R:lead,USA
William Challee,,,,M,,,unknown,unknown
Richard Chamberlain,1960-1983,Chamberlain,Richard,M,1935,,R:boyish,USA
Wilt Chamberlain,,,,M,,,unknown,unknown
Marilyn Chambers,,,,F,,,unknown,unknown
Marge Champion,1939-1968,Belcher,Majorie,F,1923,,R:dancer,USA
Jackie Chan,1983-1988,Chan,Jack,M,,,R:cop,
Chick Chandler,1933-1963,Chandler,Chick,M,1905,,R:wiry,USA
George Chandler,1930-1971,Chandler,George,M,1902,,"R:sly, comically nervous",USA
Helen Chandler,1927-1937,Chandler,Helen,F,1909,,R:lead,USA
Jeff Chandler,1947-1961,Grossel,Ira,M,1918,,R:lead,USA
Joan Chandler,1947-1949,Chandler,Joan,F,1923,,R:lead,USA
John Davis Chandler,1961-1977,Chandler,John Davis,M,1937,,"R:neurotic, twitching villain",USA
Simon Chandler,,,,M,,,unknown,unknown
Lon Chaney,1914-1930,Chaney,Alonzo,M,1883,,"R:macabre, distorted",USA
Lon Chaney~jr.,1932-1968,Chaney,Creighton,M,1906,,R:massive,USA
Carol Channing,,Channing,Carol,F,1921,,R:vivacious,USA
Margo Channing,,,,F,,,unknown,unknown
Stockard Channing,1973-1983,Channing,Susan,F,1944,,R:tomboy,USA
Charlie Chaplin,1914-1966,Chaplin,Sir Charlie,M,1889,,R:tramp,british
Esme Chaplin,,,,F,,,unknown,unknown
Geraldine Chaplin,1965-1982,Chaplin,Geraldine,F,1944,,unknown,USA
Josephine Chaplin,,,,F,,,unknown,unknown
Oona Chaplin,,,,F,,,unknown,unknown
Sydney Chaplin,1952-1970,Chaplin,Sydney,M,1926,,unknown,unknown
Edward Chapman,1929-1964,Chapman,Edward,M,1901,,R:corrupt aldermen,british
Geraldine Chapman,,,,F,,,unknown,unknown
Graham Chapman,1978-1983,Chapman,Graham,M,,,R:character,british
Lonny Chapman,1954-1979,Chapman,Lonny,M,,,R:character,USA
Marguerite Chapman,1940-1961,Chapman,Marguerite,F,1916,,R:dependable,USA
Cyd Charisse,1943-1972,Finklea,Tula Ellice,F,1921,,R:long-legged,USA
Bobby H. Charles,,,,M,,,unknown,unknown
Ray Charles,1965,Robinson,Ray Charles,M,1930,,R:blind musician,USA
Ian Charleson,1981-1982,Charleson,Ian,M,,,R:lead,british
Henri Charrieri,,,,M,,,unknown,unknown
Spencer Charters,1923-1942,Charters,Spencer,M,1878,,R:rural fellow,USA
Charlie Chase,1929-1940,Parrott,Charles,M,1893,,R:toothbrush-moustached comedian,USA
Chevy Chase,1976-1983,Chase,Chevy,M,1949,,R:light lead,USA
Stephen Chase,,,,M,,,unknown,unknown
Martine Chassaing,,,,F,,,unknown,unknown
Marvin Chatinover,,,,M,,,unknown,unknown
Soumitra Chatterjee,1960,Chatterjee,Soumitra,M,19bb,,R:romatic lead,\In dia (Bengali)
Ruth Chatterton,1928-1938,Chatterton,Ruth,F,1893,,R:dignified,USA
Chubby Checker,1962-1962,Evans,Ernest,M,1941,,R:singer,
Michael Chekhov,1944-1954,Chekhov,Michael,M,1891,,R:dramatic,russian
Joan Chen,,,,F,,,unknown,unknown
Cher,1968-1983,Sarkisian,Cherilyn,F,1946,,R:pop singer,USA
Patrice Chereau,,,,F,,,unknown,unknown
Nicolai Cherkassov,1937-1954,Cherkassov,Nicolai,M,1903,,R:lead,russian
Virginia Cherrill,1931-1935,Cherrill,Virginia,F,1908,,R:lead,USA
Arthur Chesney,,,,M,,,unknown,unknown
Helen Chester,,,,F,,,unknown,unknown
Leslie Cheung,dow,Cheung,Leslie,M,,,R:androgenous,\HK
Anne Chevalier,1931,Reri,none,F,1915+,,R:exotic,\Ta
Maurice Chevalier,1929-1967,Chevalier,Maurice,M,1888,,R:debonair,french
Walter Chiari,1951-1972,Annichiarico,Walter,M,1924,,R:comic,italian
Sonny Chiba,,,,M,,,unknown,unknown
Lois Chiles,1973-1979,Chiles,Lois,F,1950,,R:lead,USA
Eric Chitty,1940-1977,Chitty,Eric,M,,,R:crotchety little men,british
Rae Dawn Chong,1982,,,F,1961,,unknown,unknown
Shelby Chong,,,,,,,unknown,unknown
Thomas Chong,,,,M,,,unknown,unknown
Sarita Choudhury,1992-1993,Choudhury,Sarita,F,,,R:beauty,
Navin Chowdhury,,,,M,,,unknown,unknown
Linda Cristian,1963,,,F,,,R:two-timing chesty,unknown
Suzanne Christian,,,,F,,,unknown,unknown
Audrey Christie,1952-1973,Christie,Audrey,F,1912,,R:Tough lady,USA
Julie Christie,1962-1983,Christie,Julie,F,1940,,R:striking,british
Dave Dennis Christopher,1977-1982,Christopher,Dennis,M,1955,,R:lead,USA
Kay Christopher,,,,M,,,unknown,unknown
William Christopher,,,,M,,,unknown,unknown
International Chrysis,1993,bn,William,M,1951,,"R:beuitiful, exuberant transvestite",USA
Berton Churchill,1924-1940,Churchill,Berton,M,1876,,R:forceful,canada
Sarah Churchill,1951,Churchill,"Sarah, Lady Audley",F,,,unknown,british
Eduardo Cianelli,1933-1969,Cianelli,Eduardo,M,1887,,"R:finely etched features, incisive speech",italian
Diane Cilento,1952-1982,Cilento,Diane,F,1933,,R:versatile,australian
Michael Cimino,,Cimino,Michael,M,1940,,unknown,unknown
Augusta Ciolli,,,,F,,,unknown,unknown
Audrey Claire,,,,F,,,unknown,unknown
Ina Claire,1915-1943,Fagan,Ina,F,1892,,unknown,USA
Jimmy Clanton,,,,M,,,unknown,unknown
Gordon Clapp,,,,M,,,unknown,unknown
Eric Clapton,,,,M,,,unknown,unknown
Mary Clare,1924-1959,Clare,Mary,F,1894,,R:matron,british
O.B. Clarence,1914-1947,Clarence,O.B.,M,1870,,R:benevolent doddering,british
D. Greydon Clark,,,,M,,,unknown,unknown
Candy Clark,1973-1983,Clark,Candy,F,1949,,R:lead,USA
Cliff Clark,,Clark,Cliff,M,1893,,R:stocky tough policeman,USA
Dane Clark,1943-1973,Zanville,Bernard,M,1913,,R:tough,USA
Ernest Clark,1949-1968,Clark,Ernest,M,1912,,R:tight-lipped,british
Fred Clark,1947-1968,Clark,Fred,M,1914,,R:bald explosive,USA
Ken Clark,1956-1965,Clark,Ken,M,,,R:tough,USA
Marguerite Clark,1914-1921,Clark,Marguerite,F,1883,,R:plucky waif,USA
Petula Clark,1944-1981,Clark,Petula,F,1932,,R:singer,USA
Susan Clark,1967-1975,Clark,Susan,F,1940,,R:lead,canada
Caitlin Clarke,,,,M,,,unknown,unknown
Sharon D. Clarke,,,,F,,,unknown,unknown
Warren Clarke,,,,M,,,unknown,unknown
D.A. ClarkeSmith,1930-1956,Clarke-Smith,D.A.,M,1888,,R:character,british
Jill Clayburgh,1969-1983,Clayburgh,Jill,F,1945,,R:lead,USA
Ethel Clayton,1912-1939,Clayton,Ethel,F,1884,,R:silent star,USA
John Cleese,1968-1997,Cleese,John,M,1939,,R:tall bewildered,british
Pierre Clementi,1963-1978,Clementi,Pierre,M,1941,,R:lead,french
John Clements,1929-1942,Clements,Sir John,M,,,R:lead,british
David Clendinning,,,,M,,,unknown,unknown
David Clennon,,,,M,,,unknown,unknown
Corinne Clery,,,,F,,,unknown,unknown
Jimmy Cliff,,,,M,,,unknown,unknown
Montgomery Clift,,Clift,Montgomery,M,1920,,R:introspective romantic,USA
Colin Clive,1930-1937,Greig,Clive,M,1898,,"R:fraught, serious",british
E.E. Clive,1933-1940,Clive,E.E.,M,1879,,R:amiable sour-faced,british
Al Cliver,,,,M,,,unknown,unknown
George Clooney,-1997,Clooney,George,G,dob,,unknown,unknown
Rosemary Clooney,1953-1954,Clooney,Rosemary,F,1928,,R:breezy singer,USA
Glenn Close,1982-1989,Close,Glenn,F,1947,,R:wicked,USA
Raymond Cloutier,,,,M,,,unknown,unknown
Suzanne Cloutier,1946-1961,Cloutier,Suzanne,F,1927,,R:lead,\Fr-\Ca
Vera Clouzot,,Clouzot,Vera,F,1921,,unknown,Portugese
Jennifer Cluff,,,,F,,,unknown,unknown
Alec Clunes,1940-1962,Clunes,Alec,M,1912,,unknown,british
Andy Clyde,1928-1965,Clyde,Andy,M,1892,,R:acrobatic,\Br; Scots
June Clyde,,,,F,,,unknown,unknown
Lee J. Cobb,1937-1975,Jacoby,Leo,M,1911,,R:powerful,USA
Charles Coburn,1933-1960,Coburn,Charles,M,1877,,R:crusty benevolence,USA
James Coburn,1959-1983,Coburn,James,M,1928,,"R:lithe movement, easy grin",USA
Steve Cochran,1945-1965,Cochran,Robert,M,1917,,R:good-looking heavy,USA
James Coco,1964-1981,Coco,James,M,1928,,R:chubby comic,USA
Ann Codee,1935-1959,Codee,Ann,F,1890,,R:middle-aged roles,USA
Lew Cody,1924-1934,Louis,Cote,,1884,,R:smartly dressed,USA
George Coe,,,,M,,,unknown,unknown
Peter Coe,1969-1969,Coe,Peter,M,1929,,unknown,british
Tristam Coffin,1941-1956,Coffin,Tristam,M,,,unknown,USA
George M. Cohan,1932-1955,Cohan,George M.,M,1878,,R:dapper,USA
Mindy Cohen,,,,F,,,unknown,unknown
Nicholas Colasanto,,,,M,,,unknown,unknown
Claudette Colbert,1928-1961,Chauchoin,Lily Claudette,F,1905,,R:smart emancipated,french
Mabel Colcord,,,,F,,,unknown,unknown
George Cole,1941-1984,Cole,George,M,1925,,R:befuddled innocent,british
Nat King Cole,1953-1965,Coles,Nathaniel,M,1919,,unknown,USA
Rosalie Cole,,,,F,,,unknown,unknown
Robert Coleby,,,,M,,,unknown,unknown
Charles Coleman,1885-1951,Coleman,Charles,M,1885,,R:perfect portly butler,australian
Dabney Coleman,1966-1983,Coleman,Dabney,M,,,R:the heavy,USA
Gary Coleman,1981-1982,Coleman,Gary,M,1968,,unknown,USA
Nancy Coleman,1942-1968,Coleman,Nancy,F,1917,,R:timid,unknown
David Colin~jr.,,,,M,,,unknown,unknown
Jean Colin,1930-1954,Colin,Jean,F,1905,,R:lead,british
Bonar Colleano,1945-1958,Sullivan,Bonar,M,1924,,R:wise-cracking,USA
Kenneth Colley,,,,M,,,unknown,unknown
Constance Collier,1916-1950,Hardie,Laura Constance,F,1878,,R:excentric lady,british
Dan Collier,,,,M,,,unknown,unknown
John Collier,1968-1972,Collier,John,M,1931,,R:character,british
Lois Collier,1938-1958,Jones,Madelyn,F,1919,,R:weird woman,USA
Patience Collier,1970-1981,Collier,Patience,F,,,unknown,unknown
William Collier,1931-1941,Senior,William,M,1866,,R:comic,USA
Patricia Collinge,1923-1964,Collinge,Patricia,F,1892,,R:old lady,ireland
Cora Sue Collins,1933-1938,Collins,Cora Sue,F,1927,,R:child star,USA
Eddie Collins,1938-1940,Collins,Eddie,M,1884,,R:character,USA
Joan Collins,1952-1982,Collins,Joan,F,1933,,R:sultry,british
Lewis Collins,1982-1982,Collins,Lewis,M,1946,,R:lead,british
Phil Collins,,,,M,,,unknown,unknown
Ray Collins,1940-1961,Collins,Ray,M,1890,,R:uncles and bosses,USA
Pauline Collins,-1989,Collins,Pauline,F,1940,,R:hang loose,british
Roberta Collins,,,,F,,,unknown,unknown
Russell Collins,1949-1964,Collins,Russell,M,1897,,R:hard guy,USA
June Collyer,1927-1953,Heermance,Dorothy,F,1891,,R:light lead,USA
Richard Colman,1919-1957,Colman,Richard,M,1891,,R:romantic,british
Ronald Colman,1919-1957,Colman,Ronald,M,1891,,R:gentle manners,british
Scott Colomby,,,,M,,,unknown,unknown
Miriam Colon,,,,F,,,unknown,unknown
Willie Colon,,,,M,,,unknown,unknown
Jerry Colonna,1938-1958,Colonna,Jerry,M,1903,,"R:high-pitched voice, walrus moustache, bulging eyes",USA
Tita Colorado,,,,F,,,unknown,unknown
Norman Combes,,,,M,,,unknown,unknown
Frederick Combs,,,,M,,,unknown,unknown
Anjanette Comer,1965-1977,Comer,Anjanette,F,1942,,R:lead,
Dorothy Comingore,1938-1951,Winters,Kay or Linda,F,1913,,R:wife,USA
The Commodores,,,,G,,,unknown,unknown
Betty Compson,1919-1948,Compson,Betty,F,1896,,R:lead,USA
Fay Compton,1914-1970,Compton,Fay,F,,,unknown,british
Joyce Compton,1926-1951,Hunt,Eleanor,F,1907,,R:light second lead,USA
Oliver Conant,,,,M,,,unknown,unknown
Jeff Conaway,1971-1982,Conaway,Jeff,M,1950,,R:general purpose,USA
Chester Conklin,1924-1967,Cowles,Jules,M,1888,,R:silent slapstick,USA
Jimmy Conlin,1933-1959,Conlin,Jimmy,M,1884,,R:bird-like,USA
Didi Conn,,,,F,,,unknown,unknown
Betty Connell,,,,F,,,unknown,unknown
Chris Connelly,1972-1974,Connelly,Christopher,M,,,R:light lead,USA
Jenifer Connelly,,,,F,,,unknown,unknown
Neil Connery,1966-1970,Connery,Neil,M,1938,,R:lead,british
Sean Connery,1957-1999,Connery,Thomas,M,1929,,R:virile,\Br; Scots
Walter Connolly,1932-1939,Connolly,Walter,M,1887,,"R:rasping millionaire, choleric editor",USA
Kenneth Connor,1953-1978,Connolly,Kenneth,M,1918,,R:nervous or shy comic,british
Chuck Connors,,Connors,Kevin,M,1937,,"R:tough guy, thin smile",USA
Michael Connors,1952-1981,Ohanian,Krekor,M,1925,,R:action hero,USA
Mike Connors,,1952-1981,Ohanian,Krekor,M,,R:\UN,action hero
Touch Connors,,1952-1981,Ohanian,Krekor,M,,R:\UN,action hero
Robert Conrad,1963-1982,Falk,Conrad Robert,M,1935,,R:personable,USA
William Conrad,1946-1982,Conrad,William,M,1920,,R:unpleasant villain,USA
Hans Conried,1937-1973,Conried,Hans,M,1917,,R:precise diction,USA
Frank Conroy,1930-1959,Conroy,Frank,M,1890,,R:domestic tyrant,british
John Considine,1976-1983,,,M,,,unknown,unknown
Tim Considine,1976,,,M,,,unknown,unknown
Michel Constantin,,,,M,,,unknown,unknown
Richard Conte,1940-1975,Conte,Richard,M,1914,,R:gangster,USA
Mario Conti,,,,M,,,unknown,unknown
Tom Conti,1974-1997,Conti,Tom,M,1945,,R:saturnine,british
Frank Converse,1967-1978,Converse,Frank,M,1938,,R:general purpose,USA
Bert Convy,1972-1981,Convy,Bert,M,1932,,"R:ex-baseball player, musician",USA
Gary Conway,1957-1977,Carmody,Gareth,M,1938,,R:light lead,USA
Morgan Conway,1934-1946,Conway,Morgan,M,1903,,R:tough-guy,USA
Tim Conway,1964-1970,Conway,Tim,M,1933,,R:Disney films,USA
Carolyn Conwell,,,,F,,,unknown,unknown
Jackie Coogan,1920-1982,Coogan,Jackie,M,1914,,R:child actor,USA
Clyde Cook,1919-1951,Cook,Clyde,M,1891,,R:character,australian
Elisha Cook~jr.,1930-1982,Cook,Elisha~Jr.,M,1902,,R:neurotic cowards,USA
Fielder Cook,1956-1977,Cook,Fielder,M,1923,,unknown,USA
Perry Cook,,,,M,,,unknown,unknown
Peter Cook,1966-1983,Cook,Peter,M,1937,,R:cabaret comedian,british
Ron Cook,1986,Cook,Ron,M,,,unknown,unknown
Alice Cooper,,,,F,,,unknown,unknown
Gary Cooper,1925-1961,Cooper,Frank J.,M,1901,,"R:honest, playboy",USA
Dame Gladys Cooper,1917-1969,Cooper,Dame Gladys,F,1888,,"R:distinguished, gracious",british
Jackie Cooper,1927-1983,Cooper,Jackie,M,1921,,"R:little tough guy, cute",USA
Melville Cooper,1931-1958,Cooper,Melville,M,1896,,R:comedy character,british
Miriam Cooper,1911-1923,Cooper,Miriam,F,1900,,R:silent screen,USA
Terrec Cooper,,,,M,,,unknown,unknown
Robert Coote,1931-1973,Coote,Robert,M,1909,,R:character,british
Francis Ford Coppola,1963-1983,Coppola,Francis,M,1939,,unknown,USA
Sofia Coppola,1990,Coppola,Sofia,F,,,unknown,USA
Gretchen Corbett,1970-1980,Corbett,Gretchen,F,1947,,R:character,USA
Harry H. Corbett,1957-1972,Corbett,Harry,M,1925,,"R:tough guy, maniac",british
Barry Corbin,,,,M,,,unknown,unknown
Ellen Corby,1946-1981,Hansen,Ellen,F,1913,,"R:nosy neighbor, prim spinster",USA
Kevin Corcoran,1955-1965,Corcoran,Kevin,M,1949,,R:child actor,USA
Alex Cord,1965-1977,Viespi,Alexander,M,1931,,R:lead,\It-Am
Lola Cordova,1990,Cordova,Lola,F,,,unknown,spain
Raymond Cordy,1931-1955,Cordiaux,R,M,1898,,R:comedy,french
Irwin Corey,,,,M,,,unknown,unknown
Jeff Corey,1941-1979,Corey,Jeff,M,1914,,"R:gamer, ganster, junkie, wino, convict, convict, cop",USA
Wendell Corey,1947-1968,Corey,Wendell,M,1914,,R:solid dependable,USA
Roger Corman,,Corman,Roger,M,1926,,unknown,unknown
Judy Cornwell,,,,F,,,unknown,unknown
Adrienne Corri,1951-1974,Riccobonii,Adrienne,F,1930,,R:tempestuous,british
Douglas `Wrong Way' Corrigan,1939-1939,Corrigan,Douglas,M,1907,,unknown,USA
Lloyd Corrigan,1925-1962,Corrigan,Lloyd,M,1900,,"R:chubby, jovial",USA
Salvatore Corsitto,,,,M,,,unknown,unknown
Bud Cort,1970-1983,Cort,Bud,M,1950,,R:demented youth,USA
Valentina Cortesa,1948-1980,Cortesa,Valentina,F,1924,,R:lead,italian
Joseph Cortese,,,,M,,,unknown,unknown
Ricardo Cortez,1923-1958,Cortez,Ricardo,M,1899,,R:Latin lover,USA
Nicholas Cortland,,,,M,,,unknown,unknown
Henry Cory,,,,M,,,unknown,unknown
Wendell Cory,,,,M,,,unknown,unknown
Cybil Cosack,,,,F,,,unknown,unknown
Ernest Cosart,,,,M,,,unknown,unknown
Bill Cosby,1971-1990,Cosby,Bill,M,1938,,"R:funny, but wise",USA
Howard Cosell,1956,Howard,Cosell,M,1919,,R:gravel-voiced commentator,USA
Rich Cosentino,,,,M,,,unknown,unknown
James Cossins,1968-1971,Cossins,James,M,1933,,R:character,british
Caroline `Tula' Cossey,1981-1990,Cossey,,"M,F",1955,,R:sexy,USA
Desiree Costeau,1974,,Desir\'ee,F,,,R:porn star,
Dolores Costello,1923-1943,Costello,Dolores,F,1905,,R:silent screen heroine,
Helene Costello,1925-1928,Costello,Helene,F,1904,,R:silent screen lead,USA
Lou Costello,1959-1959,Costello,Lou,M,1906,,R:zany comedian,USA
Kevin Costner,1989-1990,Costner,Kevin,M,1955,,unknown,unknown
Joseph Cotten,1941-1982,Cotten,Joseph,M,1905,,R:quiet lead,USA
George Coulouris,1933-1980,Coulouris,George,M,1903,,R:explosive roles,british
Carolyn Courage,,,,F,,,unknown,unknown
Hazel Court,1944-1964,Court,Hazel,F,1926,,R:scary beauty,british
Tom Courtenay,1963-1983,Courtenay,Tom,M,1937,,R:under-privleged roles,british
Cicely Courtneige,1931-1941,Courtneige,Dame Cicely,F,19aa,,R:sr,\Ct
Maggie CousineauArndt,,,,F,,,unknown,unknown
Jerome Cowan,1941-1969,Cowan,Jerome,M,1897,,R:easy manner,USA
Herbert `Cowboy' Coward,,,,M,,,unknown,unknown
Noel Coward,1918-1969,Coward,Sir Noel,M,1899,,R:bright,british
Ronny Cox,1972-1974,Cox,Ronny,M,1938,,R:character,USA
Ruth Cox,,,,F,,,unknown,unknown
Wally Cox,1952-1968,Cox,Wally,M,1924,,"R:bespectacled, weedy",USA
Peter Coyote,,,,M,,,unknown,unknown
Buster Crabbe,1933-1955,Crabbe,Clarence Linden,M,1907,,R:lead,USA
Donald Crabtree,,,,M,,,unknown,unknown
James Craig,1937-1967,Meador,John,M,1912,,R:good-natured tough outdoor type,USA
Michael Craig,1953-1977,Gregson,Michael,M,1928,,R:light lead,british
Wendy Craig,1963-1977,Craig,Wendy,F,1934,,R:comedy,british
Jack Crain,,,,M,,,unknown,unknown
Jeanne Crain,1943-1972,Crain,Jeanne,F,1925,,R:sweet and light,USA
Grant Cramer,,,,M,,,unknown,unknown
Norma Crane,,,,F,,,R:floozy,unknown
Nick Cravat,1951-1977,Cravat,Nick,M,1911,,"R:small, agile",USA
Frank Craven,1928-1945,Craven,Frank,M,1875,,R:kindly pope-smoking philosopher,USA
Gemma Craven,1976-1979,Craven,Gemma,F,1950,,R:lead,ireland
Andrew Crawford,1946-1961,Crawford,Andrew,M,1917,,R:character,\Br(Sc)
Broderick Crawford,1937-1970,Crawford,Broderick,M,1910,,R:character,USA
Joan Crawford,1925-1969,leSueur,Lucille,F,1906,,"R:flapper, career girl, repressed older woman",USA
John Crawford,1950-1964,Crawford,John,Mm,,,R:forgettable,USA
Michael Crawford,1950-1979,Crawford,Michael,M,1942,,R:lively,british
Laird Cregar,1940-1940,Cregar,Laird,M,1916,,R:heavyweight,USA
Plett Creighton,,,,M,,,unknown,unknown
Jack Creley,,,,M,,,unknown,unknown
Richard Crenna,1952-1983,Crenna,Richard,M,1926,,R:lead,USA
Robert Crenna,,,,M,,,unknown,unknown
Laura Hope Crews,1929-1941,Crews,Laura Hope,F,1880,,R:character,USA
Bernard Cribbins,1960-1978,Cribbins,Bernard,M,1928,,R:comedy character,unknown
Michael Crichton,WAD,MiC,y1973-1981,Crichton,Michael,,R:\UN,british
Lou Crisoula,,,,M,,,unknown,unknown
Donald Crisp,1914-1963,Crisp,Donald,M,1880,,R:stern character,british
Linda Cristal,1956-1971,Maya,Victoria,F,1936,,R:lead,\Ar(gentina)
Barry Crocker,1969-1974,Crocker,Barry,M,,,R:lead,australian
Dick Crockett,,,,M,,,unknown,unknown
Richard Cromwell,1930-1942,Radebaugh,Roy,M,1910,,R:gentle hero,USA
Hume Cronyn,1943-1981,Blake,Hume,M,1911,,R:character,canada
Bing Crosby,1930-1970,Crosby,Harry Lillis,M,1904,,R:crooner,USA
Cathy Lee Crosby,,,,F,,,unknown,unknown
Harry Crosby,1980,Crosby,Harry,M,,,unknown,unknown
Kim Crosby,1989,,,F,,,R:roundfaced,unknown
Lindsay Crosby,,,,M,,,unknown,unknown
Mary Crosby,,,,F,,,unknown,unknown
Henrietta Crosman,1914-1937,Crosman,Henrietta,F,1861,,unknown,USA
Ben Cross,1981-1991,Cross,Ben,M,1948,,R:lugubrious countenance,british
Rupert Crosse,1968-1968,Crosse,Rupert,M,1927,,unknown,USA
Scatman Crothers,1956-1983,Crothers,Scatman,M,,,R:comedy,USA
Lindsay Crouse,1990,,,F,,,R:capable,USA
Pat Crowley,1953-1975,Crowley,Pat,F,1929,,R:lead,USA
Andrew Cruickshank,1937-1966,Cruickshank,Andrew,M,1907,,R:doctor or judge,\Br(Sc)
Tom Cruise,1981-1989,Mapother,Tom Cruise IV,M,1961,,R:hero,USA
Rosalie Crutchley,1947-1972,Crutchley,Rosalie,F,1921,,R:lean-featured,british
James Cruze,1911-1918,Bosen,Jens Cruz,M,1884,,R:silent screen,\Da-\Am
Billy Crystal,1977-1992,Crystal,Billy,M,1948,,R:likable,USA
Riccardo Cucciola,1965-1971,Cucciola,Riccardo,M,1932,,R:lead,italian
Macaulay Culkin,1989-1993,Culkin,Macaulay,M,1980,,R:imaginative child,USA
Kieran Culkin,1993,Culkin,Kieran,M,1982,,R:child,USA
John Cullum,,,,M,,,unknown,unknown
Robert Culp,1962-1982,Culp,Robert,M,1930,,R:lead,USA
Roland Culver,1932-1978,Culver,Roland,M,1900,,"R:impeccable, comic",british
Dorothy Cumming,1927-1927,Cors.,Ruth Cumming,F,,,"R:solid, Spanish",USA
Constance Cummings,1931-1963,Halverstadt,Constance,M,1910,,unknown,USA
Bob Cummings,1935-1973,Cummings,Robert,M,1908,,R:boyish,USA
Quinn Cummings,1980,,,M,,,unknown,unknown
Susan Cummings,1955,,,F,,,unknown,unknown
Peggy Cummins,1948,,,F,,,unknown,unknown
Cecil Cunningham,1929-1948,Cunningham,Cecil,F,1888,,R:hard or wisecracking,USA
John Cunningham,,,,M,,,unknown,unknown
Alain Cuny,1942-1980,Cuny,Alain,M,1908,,"R:tall, imposing",french
Lee Curreri,,,,,,,unknown,unknown
Finlay Currie,1932-1965,Jefferson,Finlay,M,1878,,unknown,\Br(Sc)
Michael Currie,,,,M,,,unknown,unknown
Sondra Currie,,,,F,,,unknown,unknown
Steve Curry,,,,M,,,unknown,unknown
Tim Curry,1974-1983,Curry,Tim,M,1946,,R:wide-range,british
Jane Curtin,,,,F,,,unknown,unknown
Valerie Curtin,,,,F,,,unknown,unknown
Alan Curtis,1936-1950,Curtis,Alan,M,1909,,R:lead,USA
Jamie Lee Curtis,1978-1988,Curtis,Jamie Lee,F,1958,,unknown,USA
Kelly Curtis,1990,Curtis,Kelly,F,,,R:lesbian,Am
Ken Curtis,1945-1976,Curtis,Ken,M,1916,,R:character,USA
Tony Curtis,1949-1978,Schwarz,Bernard,M,1925,,"R:bouncy, lead",USA
George Curzon,1932-1958,Curzon,George,M,1896,,"R:aristocratic, sinister roles",british
Cyril Cusack,1947-1981,Cusack,Cyril,M,1910,,R:dimimutive,ireland
Peter Cushing,1939-1983,Cushing,Peter,M,1913,,R:monster roles,british
Allan Cuthbertson,1955-1983,Cuthbertson,Allan,M,1920,,R:supercilious roles,australian
Zbigniew Cybulski,1954-1965,Cybulski,Zbigniew,M,1927,,R:lead,\Po
Maryam DAbo,1982-1987,D'Abo,Maryam,F,,,unknown,unknown
Olivia DAbo,1984-1994,D'Abo,Olivia,F,1970,,unknown,Si(Si(Maryam dAbo))
Willem Dafoe,1985-1990,Dafoe,Willem,M,,,unknown,unknown
Lil Dagover,1919,Dagover,gn,F,,,R:silent,\Ct
Arlene Dahl,1947-1969,Dahl,Arlene,Ff,1924,,R:lead,german
Eva Dahlbeck,1952-1969,Dahlbeck,Eva,F,1920,,unknown,\Sw
Dan Daily,1940-1973,Daily,Dan,M,1914,,R:lanky,USA
Elizabeth Daily,,,,F,,,unknown,unknown
Irene Daily,,,,F,,,unknown,unknown
Amy Dalby,1945-1967,Dalby,Amy,F,1888,,R:character,british
Charles Dale,1931-1951,Marks,Charles,M,1881,,R:vaudevillain,USA
Jennifer Dale,,,,F,,,unknown,unknown
Jim Dale,1962-1979,Smith,James,M,1935,,"R:singer, comic",british
Marcel Dalio,1937-1965,Bleuschild,Marcel Benoit,M,1900,,R:comedy,french
John Dall,1945-1961,Dall,John,M,1918,,R:lead,USA
Beatrice Dalle,1988,Dalle,B\'eatrice,,,,R:steamy,french
Timothy Dalton,1968-1981,Dalton,Timothy,M,1944,,R:saturnine,british
Roger Daltrey,1974-1980,Daltrey,Roger,M,1944,,R:dramatic,british
James Daly,1955-1975,Daly,James,M,1918,,unknown,USA
Tyne Daly,1969-1982,Daly,Tyne,F,1947,,R:lead,USA
Mark Damon,1956,Doman,Mark,M,,,R:vengeful lead,USA
